设备编号,下单时间,订单编号,购买数量（个）,手续费（元）,总金额（元）,支付状态,出货状态,收款方,退款金额（元）,购买用户,商品ID,商品详情,省市区,软件版本
112537,2018/4/28 22:03,112537qr15249242042491,1,0.03,2.5,微信,出货成功,鑫零售结算,0,os-xL0tqoAr0_lU7a4uXclRhki3Y,商品0003,雪碧 罐X1;,广东省广州市番禺区,V3.0.33;rk3288;(900x1440)
112537,2018/4/28 22:01,112537qr15249241176830,1,0.03,2.5,微信,出货成功,鑫零售结算,0,os-xL0lnqnyUgNLnX8ChvPjqiObQ,商品0003,雪碧 罐X1;,广东省广州市番禺区,V3.0.33;rk3288;(900x1440)
112881,2018/4/28 20:45,112881qr15249195069828,1,0.03,3.0,微信,出货成功,鑫零售结算,0,os-xL0q3NG6YFG7PJrF2x7QaS23E,商品0003,雪碧X1;,广东省广州市番禺区,V3.0.37;rk3288;(900x1440)
112535,2018/4/28 17:42,112535qr15249085592867,1,0.03,3.0,微信,出货成功,鑫零售结算,0,os-xL0lfd2ov_r_97W-_KXhhTxmM,商品0003,雪碧X1;,广东省广州市番禺区,V3.0.37;rk3288;(900x1440)
112689,2018/4/28 17:20,112689qr15249072384014,1,0.03,3.0,微信,出货成功,鑫零售结算,0,os-xL0njetHFwhYx7UIafQ9boMtg,商品0003,雪碧X1;,广东省广州市海珠区,V3.0.37;rk3288;(900x1440)
112636,2018/4/28 16:09,112636qr15249029911766,1,0.03,3.0,微信,出货成功,鑫零售结算,0,ooCjVwNO3j6c8GcyERWywzwV3ni4,商品0003,雪碧330MLX1;,广东省广州市增城区,V2.1.55/1.2;rk3288
112534,2018/4/28 15:23,112534qr15249002162101,1,0.03,2.5,微信,出货成功,鑫零售结算,0,os-xL0ha5TdYHXx58Lh63RMkT44E,商品0003,雪碧 罐X1;,广东省广州市增城区,V2.1.55/1.2;rk3288
112534,2018/4/28 13:43,112534qr15248942126702,1,0.03,2.5,微信,出货成功,鑫零售结算,0,os-xL0mRNFPptzkDtKm5IuBnNom8,商品0003,雪碧 罐X1;,广东省中山市,V2.1.55/1.2;rk3288
112534,2018/4/28 13:43,112534qr15248941923862,1,0.03,2.5,微信,出货成功,鑫零售结算,0,os-xL0lJvVzpQ_MgR43_ZSxAaJVo,商品0003,雪碧 罐X1;,广东省中山市,V2.1.55/1.2;rk3288
112534,2018/4/28 13:42,112534qr15248941503606,1,0.03,2.5,微信,出货成功,鑫零售结算,0,os-xL0ha5TdYHXx58Lh63RMkT44E,商品0003,雪碧 罐X1;,广东省中山市,V2.1.55/1.2;rk3288
112673,2018/4/27 23:51,112673qr15248443074752,1,0.03,2.5,微信,出货成功,鑫零售结算,0,os-xL0mJ91H-yLfgi-a6jYOW6rHE,商品0003,雪碧 罐X1;,广东省佛山市南海区,V3.0.37;rk3288;(900x1440)
112657,2018/4/27 22:50,112657qr15248406271330,1,0.03,3.0,微信,出货成功,鑫零售结算,0,os-xL0s0VyvNDrfXjq5uYrd87rkQ,商品0003,雪碧X1;,广东省广州市番禺区,V3.0.38;rk3288;(900x1440)
112536,2018/4/27 18:54,112536qr15248264872211,1,0.03,2.5,微信,出货成功,鑫零售结算,0,os-xL0vqXCz8fs3BhqBirmQRcCUk,商品0003,雪碧 罐X1;,广东省广州市番禺区,V3.0.37;rk3288;(900x1440)
112539,2018/4/27 14:11,112539qr15248095396985,1,0.03,3.0,微信,出货成功,鑫零售结算,0,os-xL0kJQnHXTLcxDLJ1cAezUUbE,商品0003,雪碧X1;,广东省广州市天河区,V3.0.37;rk3288;(900x1440)
112531,2018/4/26 22:01,112531qr15247513307054,1,0.03,3.0,支付宝,出货成功,鑫零售结算,0,os-xL0joijCi021pEHr-_yQaha9s,商品0003,雪碧X1;,广东省中山市,V2.1.55/1.2;rk3288
112531,2018/4/26 16:27,112531qr15247312898617,1,0.03,3.0,微信,出货成功,鑫零售结算,0,ooCjVwGlFQbkRohFqp3RvbouV5yQ,商品0003,雪碧X1;,广东省中山市,V2.1.55/1.2;rk3288
112536,2018/4/26 14:26,112536qr15247240947019,1,0.03,2.5,微信,出货成功,鑫零售结算,0,os-xL0rY3S4MaTv8HnMChmYiU_GA,商品0003,雪碧 罐X1;,广东省广州市番禺区,V3.0.37;rk3288;(900x1440)
112539,2018/4/26 14:24,112539qr15247239326404,1,0.03,2.5,微信,出货成功,鑫零售结算,0,os-xL0n4FyPPtrvngaUUScH3K3wk,商品0003,雪碧 罐X1;,广东省广州市天河区,V3.0.37;rk3288;(900x1440)
112534,2018/4/26 1:40,112534qr15246780647003,1,0.03,2.5,微信,出货成功,鑫零售结算,0,os-xL0g58RJTC7kr64TNxEC_cgzU,商品0003,雪碧 罐X1;,广东省广州市天河区,V3.0.37;rk3288;(900x1440)
112531,2018/4/25 16:03,112531qr15246434343035,1,0.03,3.0,微信,出货成功,鑫零售结算,0,os-xL0lBLc0lp4M_FXrC7rBryOnk,商品0003,雪碧X1;,广东省中山市,V2.1.55/1.2;rk3288
112536,2018/4/25 15:09,112536qr15246402448259,1,0.03,2.5,微信,出货失败,鑫零售结算,0,os-xL0oMvapYmH5EPdNResgtdLt0,商品0003,雪碧 罐X1;,广东省广州市番禺区,V3.0.37;rk3288;(900x1440)
112531,2018/4/25 13:23,112531qr15246338234682,1,0.03,3.0,微信,出货成功,鑫零售结算,0,os-xL0rf-fcISWmjhc6qfdpeGFyc,商品0003,雪碧X1;,广东省中山市,V2.1.55/1.2;rk3288
112531,2018/4/24 22:18,112531qr15245795403720,1,0.03,3.0,微信,出货成功,鑫零售结算,0,os-xL0pJjXJK1b-ucd9XY27umMa0,商品0003,雪碧X1;,广东省中山市,V2.1.55/1.2;rk3288
112539,2018/4/24 16:05,112539qr15245571724803,1,0.03,2.5,微信,出货成功,鑫零售结算,0,os-xL0nbckHghSUxS7YEZFGTp2Ps,商品0003,雪碧 罐X1;,广东省广州市天河区,V3.0.37;rk3288;(900x1440)
112537,2018/4/24 15:13,112537qr15245540238037,1,0.03,2.5,微信,出货成功,鑫零售结算,0,os-xL0l3ryOa3f6AX1czUavQr7f4,商品0003,雪碧 罐X1;,广东省广州市番禺区,V3.0.33;rk3288;(900x1440)
112537,2018/4/24 15:12,112537qr15245539471501,1,0.03,2.5,微信,出货成功,鑫零售结算,0,os-xL0s8B27yVAlZRrYQ03Q_a0xM,商品0003,雪碧 罐X1;,广东省广州市番禺区,V3.0.33;rk3288;(900x1440)
112537,2018/4/24 15:11,112537qr15245539258526,1,0.03,2.5,微信,出货成功,鑫零售结算,0,os-xL0tGWU99Y386g8uuhLvIBE-c,商品0003,雪碧 罐X1;,广东省广州市番禺区,V3.0.33;rk3288;(900x1440)
112537,2018/4/23 22:04,112537qr15244922541463,1,0.03,2.5,微信,出货成功,鑫零售结算,0,os-xL0twO-TVZapIt8GYXxJIk1Yg,商品0003,雪碧 罐X1;,广东省广州市番禺区,V3.0.33;rk3288;(900x1440)
112534,2018/4/23 20:39,112534qr15244871858710,1,0.03,2.5,微信,出货成功,鑫零售结算,0,os-xL0jh4YtFUu7CZHkQ92oTnsRQ,商品0003,雪碧 罐X1;,广东省广州市天河区,V3.0.37;rk3288;(900x1440)
112535,2018/4/23 17:48,112535qr15244769575172,1,0.03,2.5,微信,出货成功,鑫零售结算,0,os-xL0rpBDCvf-mH33mn70_wsrGY,商品0003,雪碧 罐X1;,广东省广州市番禺区,V3.0.37;rk3288;(900x1440)
112539,2018/4/23 14:20,112539qr15244644096379,1,0.03,2.5,微信,出货成功,鑫零售结算,0,os-xL0rvzvuaK8mWFfDaH6Z8xHDk,商品0003,雪碧 罐X1;,广东省广州市天河区,V3.0.37;rk3288;(900x1440)
112539,2018/4/23 14:19,112539qr15244643867863,1,0.03,3.0,微信,出货成功,鑫零售结算,0,os-xL0mJ91H-yLfgi-a6jYOW6rHE,商品0003,雪碧X1;,广东省广州市天河区,V3.0.37;rk3288;(900x1440)
112537,2018/4/23 13:22,112537qr15244610007032,1,0.03,2.5,微信,出货成功,鑫零售结算,0,os-xL0sfxiCL845emdgj5QgKrPEA,商品0003,雪碧 罐X1;,广东省广州市番禺区,V3.0.33;rk3288;(900x1440)
112539,2018/4/23 12:20,112539qr15244572581810,1,0.03,2.5,微信,出货成功,鑫零售结算,0,os-xL0rPwiAtzM0n4ekmx63dcC7E,商品0003,雪碧 罐X1;,广东省广州市天河区,V3.0.37;rk3288;(900x1440)
112539,2018/4/23 12:20,112539qr15244572189229,1,0.03,2.5,微信,出货成功,鑫零售结算,0,os-xL0sb6GV7G34dSl9MMGSwfsBw,商品0003,雪碧 罐X1;,广东省广州市天河区,V3.0.37;rk3288;(900x1440)
112537,2018/4/23 12:16,112537qr15244570092536,1,0.03,2.5,微信,出货失败,鑫零售结算,0,os-xL0nV9uZYzj7StsbhfmGuJ05E,商品0003,雪碧 罐X1;,广东省广州市番禺区,V3.0.33;rk3288;(900x1440)
112534,2018/4/22 21:02,112534qr15244021678691,1,0.03,2.5,微信,出货成功,鑫零售结算,0,os-xL0p0IY3J78b1JUqlETq44D3w,商品0003,雪碧 罐X1;,广东省广州市天河区,V3.0.37;rk3288;(900x1440)
112534,2018/4/22 21:01,112534qr15244021416984,1,0.03,2.5,微信,出货成功,鑫零售结算,0,os-xL0lGFBuaF6eYr6Qtvgdo_MOA,商品0003,雪碧 罐X1;,广东省广州市天河区,V3.0.37;rk3288;(900x1440)
112534,2018/4/22 21:01,112534qr15244021144187,1,0.03,2.5,微信,出货成功,鑫零售结算,0,os-xL0qibWLaXx1qVZUvqbyDIEAE,商品0003,雪碧 罐X1;,广东省广州市天河区,V3.0.37;rk3288;(900x1440)
112535,2018/4/22 15:36,112535qr15243826322405,1,0.03,3.0,微信,出货成功,鑫零售结算,0,os-xL0jNDBzITlsBJdUUk2t59RuI,商品0003,雪碧X1;,广东省广州市番禺区,V3.0.37;rk3288;(900x1440)
112537,2018/4/22 13:32,112537qr15243751955945,1,0.03,2.5,微信,出货成功,鑫零售结算,0,os-xL0jfsQS8UhEkevpVu1kma5aw,商品0003,雪碧 罐X1;,广东省广州市番禺区,V3.0.33;rk3288;(900x1440)
112537,2018/4/21 17:51,112537qr15243043353544,1,0.03,2.5,微信,出货成功,鑫零售结算,0,os-xL0uOuXQKkGGS28So0qlZRQbY,商品0003,雪碧 罐X1;,广东省广州市番禺区,V3.0.33;rk3288;(900x1440)
112539,2018/4/21 17:25,112539qr15243027496573,1,0.03,3.0,微信,出货成功,鑫零售结算,0,os-xL0lndgcvWCPiKtOYk0aWh1UI,商品0003,雪碧X1;,广东省广州市天河区,V3.0.37;rk3288;(900x1440)
112537,2018/4/20 22:18,112537qr15242339402670,1,0.03,2.5,微信,出货成功,鑫零售结算,0,os-xL0hWrqSP2Kd6EEn-WeXghbHM,商品0003,雪碧 罐X1;,广东省广州市番禺区,V3.0.33;rk3288;(900x1440)
112539,2018/4/20 13:50,112539qr15242034533599,1,0.03,3.0,支付宝,出货成功,鑫零售结算,0,os-xL0o3LVfDtQIz4N78wCn-EOzk,商品0003,雪碧X1;,广东省广州市天河区,V3.0.37;rk3288;(900x1440)
112537,2018/4/20 13:19,112537qr15242016057795,1,0.03,2.5,微信,出货成功,鑫零售结算,0,os-xL0u-sNFuvxYfU-TBlLRDDUug,商品0003,雪碧 罐X1;,广东省广州市番禺区,V3.0.33;rk3288;(900x1440)
112535,2018/4/20 12:33,112535qr15241988185517,1,0.03,2.5,支付宝,出货成功,鑫零售结算,0,os-xL0joTq88K_LmiQHFbsb24WaA,商品0003,雪碧 罐X1;,广东省广州市番禺区,V3.0.37;rk3288;(900x1440)
112537,2018/4/20 12:19,112537qr15241979577590,1,0.03,2.5,微信,出货成功,鑫零售结算,0,os-xL0jFZuIO6LEVXHJcYtm1qCYw,商品0003,雪碧 罐X1;,广东省广州市番禺区,V3.0.33;rk3288;(900x1440)
112537,2018/4/19 18:21,112537qr15241332919883,1,0.03,2.5,微信,出货成功,鑫零售结算,0,os-xL0qWMqac1ZPYqrQiFG-o2z6U,商品0003,雪碧 罐X1;,广东省广州市番禺区,V3.0.33;rk3288;(900x1440)
112537,2018/4/19 13:22,112537qr15241153305988,1,0.03,2.5,微信,出货失败,鑫零售结算,0,os-xL0qw5bKXrcOIP2YBdlVySZHY,商品0003,雪碧 罐X1;,广东省广州市番禺区,V3.0.33;rk3288;(900x1440)
112534,2018/4/18 13:52,112534qr15240307737210,1,0.03,2.5,微信,出货成功,平台,0,os-xL0nUhhvBIlrYQMKbcv6QLSBA,商品0003,雪碧 罐X1;,广东省广州市天河区,V3.0.37;rk3288;(900x1440)
112534,2018/4/18 13:51,112534qr15240307209253,1,0.03,2.5,微信,出货成功,平台,0,os-xL0s5DJRN0BLsbV6Haw9TAkGQ,商品0003,雪碧 罐X1;,广东省广州市天河区,V3.0.37;rk3288;(900x1440)
112636,2018/4/30 22:33,112636qr15250988245087,1,0.04,4.0,支付宝,出货成功,鑫零售结算,0,os-xL0lF3FKQU_ejpHt39CJCsmfc,商品0004,阿萨姆奶茶X1;,广东省广州市增城区,V2.1.55/1.2;rk3288
112657,2018/4/30 21:14,112657qr15250940998471,1,0.04,4.0,微信,出货成功,鑫零售结算,0,os-xL0qfbSn3OJAnK-fdEs_SDWRY,商品0004,阿萨姆奶茶X1;,广东省广州市番禺区,V3.0.38;rk3288;(900x1440)
112636,2018/4/30 20:02,112636qr15250897658989,1,0.04,4.0,微信,出货成功,鑫零售结算,0,os-xL0lcbY_WB7RN28-igPfR-lus,商品0004,阿萨姆奶茶X1;,广东省广州市增城区,V2.1.55/1.2;rk3288
112636,2018/4/30 19:15,112636qr15250869251124,1,0.04,4.0,微信,出货成功,鑫零售结算,0,os-xL0gyFePPKw9MAy83ruFro3aI,商品0004,阿萨姆奶茶X1;,广东省广州市增城区,V2.1.55/1.2;rk3288
112534,2018/4/30 17:26,112534qr15250803849333,1,0.04,4.0,微信,出货成功,鑫零售结算,0,os-xL0tIqnSws1BDpX-MNvqsmii8,商品0004,阿萨姆奶茶X1;,广东省广州市番禺区,V3.0.33;rk3288;(900x1440)
112657,2018/4/30 17:11,112657qr15250795141549,1,0.04,4.0,微信,出货成功,鑫零售结算,0,os-xL0q2pnp3E_kXwYYZSeCxPNAQ,商品0004,阿萨姆奶茶X1;,广东省广州市番禺区,V3.0.38;rk3288;(900x1440)
112657,2018/4/30 17:02,112657qr15250789303952,1,0.04,4.0,微信,出货成功,鑫零售结算,0,os-xL0oOYJ84gLmPUOdA4pOLk05U,商品0004,阿萨姆奶茶X1;,广东省广州市番禺区,V3.0.38;rk3288;(900x1440)
112673,2018/4/30 14:54,112673qr15250712659175,1,0.04,4.0,微信,出货成功,鑫零售结算,0,os-xL0sK6RTOQ-mx2m4PcLCGu_gE,商品0004,阿萨姆奶茶X1;,广东省佛山市南海区,V3.0.37;rk3288;(900x1440)
112673,2018/4/30 10:27,112673qr15250552325212,1,0.04,4.0,微信,出货成功,鑫零售结算,0,os-xL0nOVgCeINDHjqLQyFyMrmIo,商品0004,阿萨姆奶茶X1;,广东省佛山市南海区,V3.0.37;rk3288;(900x1440)
112538,2018/4/30 8:42,112538qr15250489838085,1,0.04,4.0,微信,出货中,鑫零售结算,0,os-xL0pWYsP1X-lkaRSggIchQ_1I,商品0004,阿萨姆奶茶X1;,广东省广州市番禺区,V3.0.37.2;rk3288;(900x1440)
112538,2018/4/30 8:42,112538qr15250489311030,1,0.04,4.0,微信,出货成功,鑫零售结算,0,os-xL0pXxkg3fiYGWs4-C3WBLpLY,商品0004,阿萨姆奶茶X1;,广东省广州市番禺区,V3.0.37.2;rk3288;(900x1440)
112538,2018/4/30 7:55,112538qr15250461337216,1,0.04,4.0,微信,出货成功,鑫零售结算,0,os-xL0rVe01IX7T90PqmmdSvlNc0,商品0004,阿萨姆奶茶X1;,广东省广州市番禺区,V3.0.37.2;rk3288;(900x1440)
112534,2018/4/29 19:11,112534qr15250002961635,1,0.04,4.0,微信,出货成功,鑫零售结算,0,os-xL0lo1IfzomVU5inryIQ8HvPY,商品0004,阿萨姆奶茶X1;,广东省广州市番禺区,V3.0.38;rk3288;(900x1440)
