店铺名称,手机品牌,商品编号,商品名称,CPU型号,后摄主摄像素,前摄主摄像素,系统,商品评价量,手机价格
小米京东自营旗舰店,小米,100022000000,小米Redmi Note10 Pro,天玑1100,6400万像素,1600万像素,Android,50万+,1699.0
中国移动官方旗舰店,荣耀,100025000000,荣耀荣耀50 SE,其他,其他,其他,其他,1万+,2299.0
百事乐手机官方旗舰店,百事乐,10043600000000,新款百事乐S13pro超薄便宜智能,其他,其他,其他,Android,5000+,589.0
京域手机旗舰店,vivo,10047700000000,vivoX80 Pro,骁龙8 Gen 1,5000万像素,3200万像素,Android,100+,5999.0
OPPO墨白专卖店,OPPO,10043400000000,,其他,1600万像素,其他,Android,200+,969.0
疆界互联旗舰店,荣耀,68595977647,荣耀（HONOR）荣耀X20（,其他,其他,其他,Android,2万+,1329.0
中兴京东自营官方旗舰店,中兴,100022000000,中兴ZTE 8031,紫光展锐,1600万像素,800万像素,Android,2万+,698.0
小米京东自营旗舰店,小米,100019000000,小米Redmi K50 电竞版,骁龙8 Gen 1,6400万像素,2000万像素,Android,2万+,3599.0
京东之家官方旗舰店,小米,10029100000000,小米（MI）Redmi 9A,其他,1300万像素,500万像素,Android,10万+,581.0
万鹏手机专营店,关爱心,10039300000000,新款X13promax超薄电竞游戏智能,其他,其他,其他,Android,5000+,489.0
茄子手机旗舰店,小米,71865667947,小米（MI）redmi 9A,其他,其他,其他,其他,5万+,590.0
酷派京东自营旗舰店,酷派,100022000000,酷派COOL 20,其他,4800万像素,500万像素,其他,1万+,699.0
努比亚京东自营旗舰店,努比亚,100033000000,努比亚Z40Pro,骁龙8 Gen 1,6400万像素,其他,Android,1万+,3999.0
vivo京东自营官方旗舰店,vivo,100027000000,vivoT1x,天玑900,6400万像素,800万像素,Android,2万+,1599.0
京联通达旗舰店,华为,10036400000000,华为nova9 ,其他,其他,其他,HarmonyOS 2,1万+,2519.0
小米京东自营旗舰店,小米,100020000000,小米小米11 Ultra,骁龙888,5000万像素,2000万像素,Android,10万+,5999.0
vivo京东自营官方旗舰店,vivo,100030000000,vivoS12 Pro,天玑1200,10800万像素,其他,Android,1万+,3299.0
索爱（soaiy）手机京东自营旗舰店,索爱,100007000000,索爱S20A,其他,800万像素,500万像素,Android,2万+,399.0
优爱特手机专营店,真我,10033800000000,真我（realme）真我GT Neo2T,天玑1200,6400万像素,1600万像素,Android,2000+,1498.0
小米手机官方旗舰店,小米,10046800000000,小米（MI）22041211AC,其他,其他,其他,Android,5000+,2799.0
荣耀京东自营旗舰店,荣耀,100019000000,荣耀荣耀,骁龙8 Gen 1,5000万像素,1200万像素,Android,1万+,5899.0
三星京东自营官方旗舰店,三星,100013000000,三星Galaxy Z Flip3 ,骁龙888,1200万像素,1000万像素,Android,2万+,7599.0
